Time;Model run;Model type; mean travel time; half time; PD; eta
2022-10-21 14:20:33.840622;1;1;10;12.0;0.1;0.5
2022-10-21 14:31:26.782049;1;1;10;12.0;0.1;0.5
2022-10-24 10:04:48.998176;1;1;10;10.0;0.1;0.5
2022-10-24 10:06:12.549482;2;1;10;10.0;0.1;0.5
2022-10-24 10:06:16.739753;3;1;10;10.0;0.1;0.5
2022-10-24 10:06:39.014419;4;1;10;10.0;0.1;0.5
2022-11-01 14:21:37.229840;1;2;10;12.4;0.1;0.5
2022-11-01 14:30:01.604784;2;2;10;10.0;0.1;0.5
2022-11-01 14:30:26.148051;3;2;10;6.0;0.1;0.5
2022-11-01 14:30:45.292110;4;2;10;3.0;0.1;0.5
2022-11-02 09:38:50.141591;1;2;10;3.0;0.1;0.5
2022-11-02 10:18:37.818922;1;5;10;3.0;0.1;0.5
2022-11-02 10:29:18.758944;1;2;10;3.0;0.1;0.5
2022-11-02 11:05:41.142706;1;2;10;3.0;0.1;0.5
2022-11-02 11:06:57.855450;1;1;10;10.0;0.1;0.5
2022-11-02 11:07:39.377475;2;2;10;3.0;0.1;0.5
2022-11-02 11:08:40.670270;1;2;10;3.0;0.1;0.5
2022-11-02 11:11:41.260219;1;2;10;3.0;0.1;0.5
2022-11-02 11:14:19.348870;1;2;10;3.0;0.1;0.5
2022-11-02 12:24:44.017560;1;2;10;3.0;0.1;0.5
2022-11-02 12:25:30.121364;2;3;10;3.0;0.1;0.5
2022-11-02 12:27:24.247704;1;2;10;3.0;0.1;0.5
2022-11-02 13:00:30.675892;1;2;10;3.0;0.1;0.5
